Hanggang,"

Ilang ulit mo bang itinatanong sa'kin
Kung hanggang saan hanggang saan hanggang kailan
Hanggang kailan mag tatagal
Ang aking pag mamahal

Hanggang may himig pa akong naririnig
Dito sa'king daig-dig
Hanggang may musika akong tinataglay
Ika'y iniibig
Giliw wag mo sanang isiping
Ikaw ay aking lilisanin
Di ko magagawang
Lumayo sa'yong piling
At nais kong malaman mo
Kung gaano kita kamahal

Hanggang ang diwa ko'y
Tanging sayo laan
Mamahalin kailanman
Hanggang pag ibig ko'y
Hanggang walang hanggan
Tanging ikaw lamang

Hanggang may himig pa akong naririnig
Dito sa'king daigdig
Hanggang may musika akong tinataglay
Ika'y iniibig
Giliw wag mo sanang isiping
Ikaw ay aking lilisanin
Di ko magagawang
Lumayo sayong piling
At nais kong malaman mo
Kung gaano kita kamahal

Hanggang may puso akong
Marunong mag mahal
Na ang sinisigaw ay lagi ng ikaw
Hanggang saan hanggang kailan
Hanggang kailan kita mahal
Hanggang ang buhay ko'y
Kunin ng may kapal

Giliw wag mo sanang isipin
Ikaw ay aking lilisanin
Di ko magagawang
Lumayo sa'yong piling
Hanggang may pag ibig
Laging isisigaw tanging ikaw
Hanggang may pag ibig
Laging isisigaw tanging ikaw
",Ogie Alcasid
Iingatan Ka,"

Sa buhay kong ito, tanging pangarap lang
Ang iyong pagmamahal ay makamtan
Kahit na sandali, ikaw ay mamasdan
Ligaya'y tila bang walang hanggan

Sana'y 'di na magising kung nangangarap man din
Kung ang buhay na makulay ang tatahakin
Minsan ay nadarama, minsan din ay luluha
'Di ka na mag-iisa 'pagkat sa buhay mo
Ay may nagmamahal pa rin

Iingatan ka, aalagaan ka
Sa puso ko, ikaw ang pag-asa
Sa 'ting mundo'y may gagabay sa 'yo
Ang alay ko'y itong pagmamahal ko

May nagmamahal, aakay sa 'yo
Aking mahal, ikaw ang nagbigay ng buhay ko
Buhay na kay ganda
Pangarap ko na makamtan ko na

Sana'y 'di na magising kung nangangarap man din
Kung ang buhay na makulay ang tatahakin
Minsan ay nadarama, minsan din ay luluha
'Di ka na mag-iisa 'pagkat sa buhay mo
Ay may nagmamahal pa rin (nagmamahal pa rin)

Iingatan ka, aalagaan ka
Sa puso ko, ikaw ang pag-asa
Sa 'ting mundo'y may gagabay sa 'yo
Ang alay ko'y itong pagmamahal ko

May nagmamahal (may nagmamahal), aakay sa 'yo
Aking mahal, ikaw ang nagbigay ng buhay ko
Buhay na kay ganda
Pangarap ko na makamtan ko na

Iingatan ka, aalagaan ka
Sa puso ko, ikaw ang pag-asa (ikaw ang pag-asa)
Sa 'ting mundo'y may gagabay sa 'yo
Ang alay ko'y itong pagmamahal ko

May nagmamahal (may nagmamahal), aakay sa 'yo
Aking mahal, ikaw ang nagbigay ng buhay ko
Buhay na kay ganda
Pangarap ko na makamtan ko na

Pangarap ko na makamtan ko na
Iingatan ka
",Ogie Alcasid
Pag-Ibig,"

Nang tangan ng nanay
Ang munti mong mga kamay
Ika'y tuwang-tuwa
Panatag ang loob sa damdaming
Ika'y mahal

Nang nakilala mo ang una mong sinta
Umapaw ang saya at siya'y ibang-iba
Sinasamsam ang bawat gunita

Hindi mo malimutan kung kailan
Nagsimulang matuto kung papaanong magmahal
At 'di mo malimutan kung kailan mo natikman
Ang una mong halik, yakap na napakahigpit
Pag-ibig na tunay hanggang langit

Nang tayo'y nagkakilala ng hindi sinasadya
Ikaw lang ang napansin
Nahuli sa isang tingin
At sa pagbati mong napakalambing

Hindi ko malimutan kung kailan nagsimulang
Matutong ikaw lang ang mahalin
At 'di malimutan kung kailan ko natikman
Ang tamis ng iyong halik (tamis ng iyong halik)
Yakap na napakahigpit
Pag-ibig mong tunay hanggang langit

At 'di ko malimutan ('di ko malimutan)
Kung kailan ko natikman (kung kailan ko natikman)
Ang tamis ng iyong halik, yakap na napakahigpit
Pag-ibig na tunay hanggang langit

At 'di ko malimutan ('di ko malimutan)
Kung kailan ko natikman (kung kailan ko natikman)
Ang tamis ng iyong halik, yakap na napakahigpit
Pag-ibig na tunay hanggang langit

Oh
",Ogie Alcasid
Nakakalokal,"

Nakakalokal
Nakakalokal
Nakakalokal
Ibang iba, ibang iba, ibang iba ang pinoy

Ang musikang pinoy iba sa panlasa
'Pag narinig mo na, sa puso mo tumatama
Madaling sabayan ang mga letra
Bigla ka na lang mapapakanta
Hindi mo maitatanggi
Ikaw mismo ang magsasabi

Nakakalokal
Kahit nasan ka man makikilala mo ang tunog
Nakakalokal
Alam na alam mong Pilipino ang tumutugtog
Nakakalokal
Tangkilikin natin ang musikang pinoy
Nakakalokal
Ibang iba ang pinoy

Sabi nga ni Mr. C
Ito ay atin, sariling atin
Sabi pa ni Kiko sa ating lahat
Mga kababayan
Kung may itim o may puti
Mayron namang kayumanggi
Ang musika natin ay kay ganda
Buong mundo ay humahanga

Nakakalokal
Kahit nasan ka man makikilala mo ang tunog
Nakakalokal
Alam na alam mong Pilipino ang tumutugtog
Nakakalokal
Tangkilikin natin ang musikang pinoy
Nakakalokal
Ibang iba ang pinoy

Kaliwa, gitna o kanan
Dapat tayong magmahalan
May magbubuklod sa'tin
Ang musika, musika, musika
Kapamilya

Nakakalokal
Kahit nasan ka man makikilala mo ang tunog
Nakakalokal
Alam na alam mong Pilipino ang tumutugtog
Nakakalokal
Tangkilikin natin ang musikang pinoy
Nakakalokal
Ibang iba ang pinoy

Nakakalokal [x8]

Nakakalokal
Kahit nasan ka man makikilala mo ang tunog
Nakakalokal
Alam na alam mong Pilipino ang tumutugtog
Nakakalokal
Tangkilikin natin ang musikang pinoy
Nakakalokal
Ibang iba ang pinoy

Nakakalokal
Kahit nasan ka man makikilala mo ang tunog
Nakakalokal
Alam na alam mong Pilipino ang tumutugtog
Nakakalokal
Tangkilikin natin ang musikang pinoy

Nakakalokal
Kahit nasan ka man makikilala mo ang tunog
Nakakalokal
Alam na alam mong Pilipino ang tumutugtog
Nakakalokal
Tangkilikin natin ang musikang pinoy
Nakakalokal
Ibang iba, ibang iba
Ibang iba, ibang iba ang pinoy
",Ogie Alcasid
Ikaw Ang Tanging Pag-Ibig Ko,"

Hindi ko na maalala noong ako'y malungkot pa
'Di ko na nakikilala ang mga sakit na nadama
Magmula ng ako'y ginising ng iyong pagmamahal
Ni ayaw kong matulog upang ang saya'y magtagal

Sino ba ang nagsabi na walang magpakailanman
'Di ko siya mapaniniwalaan at ikaw ang aking dahilan
Lumulundag ang aking damdamin sa tuwa'y naluluha
'Pagkat alam ko na bawa't sandali ay nariyan ka

Ikaw ang tanging pag-ibig ko
Ikaw ang langit sa'king mundo
Ikaw ang ligaya ng buhay ko
Ikaw ang tanging pag-ibig ko

Ikaw ang tanging pag-ibig ko
Ikaw ang langit sa'king mundo
Ikaw ang ligaya ng buhay ko
Ikaw ang tanging pag-ibig ko

Ikaw ang tanging pag-ibig ko
Ikaw ang langit sa'king mundo
Ikaw ang ligaya ng buhay ko
Ikaw ang tanging pag-ibig ko
",Ogie Alcasid
Ogie And Regine Medley,"

Kailangan ko'y ikaw
Dito sa piling ko
Kailangan kong madama
Ang pag-ibig mo
Sa bawat oras na
Di ka nakikita
Para bang kaybigat
Ng nadarama
Kailangan ko'y ikaw
Sa bawat sandali
Kailangan ko ang yakap mo
At ang iyong halik
O giliw nasaan ka
Bakit lumisan ka
Paano na ng puso long nag-iisa
Kailangan ko'y ikaw
Dito sa buhay ko
Paaano na nag puso kung nag-iisa
Bakit pa, may lungkot sa iyong mga mata
Ako kaya'y di nais makapilinng sinta
Di mo ba pansin, ako sayo'y may pagtingin
Sana ang tinig ko'y iyong dingin
Ako ngayo'y do=i mapalagay
Pagkat ang puso koy nalulumbay
Sana ay paka-ingatan mo ito
At tandaaan mo ang isang pangako
Pangakong di kita iiwan
Pangakong di mo pababayaan
Pangakong hindi ka na mag-iisa
Pangakong magmula ngayo'y
Tayong dalawa ang magkasama
Tayong dalawa
Pangako, hindi kita iwan
Pangako di mo pababayaan
Panagako hinndi ka nag-iisa
Pangakong magmula ngayo'y tayong dlawa
Ikaw lang ang tuna'y na minamahal
Ikaw ang hinintay ko ng kaytagal
Ikaw ang ligaya nag buhay at pag-asa
Ikaw lang wala nang iba
Kayat hangggang ngayon
Ikaw pa rin ang iniibig ko
Ikaw pa rin ang natatanging
Pangarap ko
Ikaw lamang hanggang ngayon
Dapat ba nating pagbigyan
Ang ating mga puso'y
Muli pang buksan
At ibibigay lahat ang pag-ibig na tapat
Sayo, Sayo...
Hanggang ngayon
Ikaw pa rin ang iniibig ko
Ikaw parin ang natatanging pangarap ko
HIndi ko na kayang mag-isa
Ikaw lamang, Ikaw lamang, ikaw lamang...
Hanggang nagyon
Ohhhh...
",Ogie Alcasid
Akala Ko,"

Akala ko, 'di mo ko iiwan
Akala ko tayo ay magtatagal
Kung kailan ako natutong umibig
At naniwala na eto na ang aking pag-asa

Akala ko ang puso mo ay akin
Akala ko walang hahadlang sa atin
Sa simula, habang buhay ang pangako
Nguni't tila ang lahat ay nagbago na

Akala ko ikaw na ang magmamahal
Sa puso ko na naghintay ng kay tagal
Hindi ko alam, ang puso ko'y masasaktan
Pagka't akala ko'y ika'y akin lamang

Bakit ka nagkunwari
Na puso mo'y 'di magkakamali
Kapwa lang tayong masasaktan
Ngayong walang pag-ibig na aasahan

Akala ko ikaw na ang magmamahal
Sa puso ko na naghintay ng kay tagal
Hindi ko alam, ang puso ko'y masasaktan
Pagka't akala ko, pagka't akala ko
Pagka't akala ko'y, ika'y akin lamang
Akala ko...
",Ogie Alcasid
,"

'Di ko alam kung ano ang nagawa
Upang ikaw ay lumisan ng bigla
'Di ko alam kung ano ang gagawin
Bakit ang tunay na hangarin mo'y tinago mo sa'kin

Bakit ako nagtiwala sa iyo, mahal ko
Akala ko'y ikaw na ang iibigin ko

'Di na muli iibig pa
'Di na muli aasa pa
Hanggang kailan mag-hihintay
Hanggang hindi ko makamtan
Ang pag-ibig na walang hanggan

'Di na muli iibig pa
'Di na muli...

'Di na muli iibig pa
'Di na muli aasa pa
Hanggang kailan mag-hihintay
Hanggang hindi ko makamtan
Ang pag-ibig na walang hanggan

'Di na muli...
'Di na muli...
'Di na muli...
",Ogie Alcasid
,"

Ang buhay ay sadyang ganyan
Madami kang pagdadaanan
Lagi na lamang may pagsubok
Para bang walang katapusan

Mundo mo ay gulong gulo
Pagod na ang puso mo
Ang iyong mata'y iyong buksan
Sa isang katotohanan

Hindi ka pababayaan
Hindi ka tatalikuran
Ang lahat ng ito'y may hangganan
At hindi mo kailangang labanan
Magtiwala ka kaibigan
Laging mayroong maaasahan
Hindi ka pababayaan kailanman

Hindi ka pababayaan
Hindi ka tatalikuran
Ang lahat ng ito'y may hangganan
At hindi mo kailangang labanan
Magtiwala ka kaibigan
Laging mayroong maaasahan
Hindi ka pababayaan kailanman
",Ogie Alcasid
Kailangan Kita,"

Sa piling nya nadarama
Ang tunay na pag-sinta
Pag-yakap kita ng mahigpit
Parang ako'y nasa langit

Ngunit ito ay panaginip lamang
Pagkat ang puso mo'y labis kong nasaktan
Paki-usap ko'y ako ay pakinggan

Kailangan kita, ngayon at kailanman
Kailangan mong malaman na ikaw lamang
Ang tunay kong minamahal
At tangi kong hiling ay makapiling kang muli

Ngunit ito ay panaginip lamang
Pagkat ang puso mo'y labis kong nasaktan
Paki-usap ko'y ako ay pakinggan

Kailangan kita, ngayon at kailanman
Kailangan mong malaman na ikaw lamang
Ang tunay kong minamahal
At tangi kong dinarasal

Kailangan kita, ngayon at kailanman
Kailangan mong malaman na ikaw lamang
Ang tunay kong minamahal
At tangi kong hiling ay makapiling kang muli

Kailangan kita
",Ogie Alcasid
Ikaw Lamang,"

Ikaw lamang ang tangi kong iniisip
Ang lagi kong panaginip
Tayong dalawa ay nagmamahalan
Pangarap ko na kailanma'y di maglaho
Ang pag-ibig kong ito
Pagka't hinding hindi ko
Makakayang mawalay sa iyo
Ikaw lamang ang buhay ko
Sana nama'y pakinggan mo ang puso ko
Na mayroong sinasabi

Ikaw lamang ang tangi kong minamahal
Ang tangi kong dinarasal
Sana'y habang buhay tayong magkasama
Ang puso ko'y ibibigay lamang sa 'yo
Ito ang akong pangako
Mula ngayon hanggang magpakailanpaman
Ikaw lamang

Ikaw lamang ang buhay ko
Sana giliw pakinggan mo
Ang puso kong na mayroong sinasabi

Ikaw lamang ang tangi kong minamahal
Ang tangi kong dinarasal
Sana'y habang buhay tayong magkasama
Ang puso ko'y ibibigay lamang sa 'yo
Ito ang akong pangako
Mula ngayon hanggang magpakailanpaman

Ikaw lamang...
Ikaw lamang...
Ikaw lamang...
",Ogie Alcasid
Ikaw Ang Aking Pangarap,"

Mula ng makilala ka
Buhay ko'y biglang nag-iba
Kay saya ng bawat sandali
Kailanma'y hindi ipagpapalit

Ikaw ang aking hiniling
Sa habang buhay ay makapiling
Nguni't mahal ikaw ay nasaan
Aking minimithi ay ikaw lamang

Ikaw ang aking pangarap
Ikaw ang sagot sa 'king dasal
Puso ko ay iaalay
Pagka't minamahal kitang tunay

Ikaw ang aking pag-ibig
Ang nagbibigay kulay sa'king daigdig
Wala nang nanaisin pa
Kung magpakailanman ay kasama ka
Ikaw ang pangarap

Nguni't mahal ikaw ay nasaan
Aking minimithi ay ikaw lamang
Ikaw lamang

Ikaw ang aking pangarap
Ikaw ang sagot sa 'king dasal
Puso ko ay iaalay
Pagka't minamahal kitang tunay

Ikaw ang aking pag-ibig
Ang nagbibigay kulay sa'king daigdig
Wala nang nanaisin pa
Kung magpakailanman ay kasama ka
Ikaw ang pangarap
Ikaw ang aking pangarap
",Ogie Alcasid
Do You Wanna Dance With Me,"

Dance, dance
Ako ang kasayaw mo, dance
Do you wanna dance, dance

Kasayaw, 'yan ang hanap ko
Gumalaw hanggang kaya mo
Everybody's singing and swaying
Ginagalingan ang dancing
Wala bang hindi sumasayaw
Suddenly there you are
Let me take you to the stars

Do you wanna dance with me, swing with me
Ako ang kasayaw mo buong gabi
Ooh dance with me, swing with me
Ako ang kasayaw mo (ako ang kasayaw mo)
Anong hinihintay mo (anong hinihintay mo)
Tayo nang magsayaw

Kagulo ang damdamin ko
Sa ganda mo, natutunaw ako
Don't you know that I have been waiting
Na ikaw ay makapiing
Minamasdan ka from afar
Suddenly there you are
Let me take you to the stars

Do you wanna dance with me, swing with me
Ako ang kasayaw mo buong gabi
Ooh dance with me, swing with me
Ako ang kasayaw mo (ako ang kasayaw mo)
Anong hinihintay mo (anong hinihintay mo)
Tayo nang magsayaw

Dance, sway
Ako ang kasayaw mo
Do you wanna dance, sway
Ako ang kasayaw mo
Anong hinihintay mo

Do you wanna dance with me, swing with me
Ako ang kasayaw mo buong gabi
Ooh dance with me, swing with me
Ako ang kasayaw mo (ako ang kasayaw mo)
Anong hinihintay mo (anong hinihintay mo)
Tayo nang magsayaw

Do you wanna dance with me, swing with me
Ako ang kasayaw mo buong gabi
Ooh dance with me, swing with me
Ako ang kasayaw mo (ako ang kasayaw mo)
Anong hinihintay mo (anong hinihintay mo)
Tayo nang magsayaw

Dance, sway
Ako ang kasayaw mo

Ooh dance with me, swing with me
Ako ang kasayaw mo (ako ang kasayaw mo)
Anong hinihintay mo (anong hinihintay mo)
Tayo nang magsayaw

Dance, sway
Ooh dance with me, baby
Ako ang kasayaw mo buong gabi

Ooh dance with me, swing with me
Ako ang kasayaw mo (ako ang kasayaw mo)
Anong hinihintay mo (anong hinihintay mo)
Tayo nang magsayaw
",Ogie Alcasid
Beautiful,"

In this world, we do have troubles
And yes, we do encounter fear
But love has all the answers
And we found it in the son

Your victory is ours
You conquered death in the final hour
Oh Jesus, we thank You
For what You have done

Beautiful, beautiful
Everything You've done is simply beautiful
Wonderful, glorious
I just stand amazed to hear Your name

Jesus Jesus, we praise You
Jesus Jesus, we love You

Your kingdom is in heaven
As it is here on earth
You will reign forever
And ever in our hearts

We hold on to the word
As it was from the start
And it was with God always
And the word is God

Beautiful, beautiful
Everything You've done is simply beautiful
Wonderful, glorious
I just stand amazed to hear Your name

Jesus Jesus, we praise You
Jesus Jesus, we love You
And we will follow You
And we will worship You
And we glorify Your name
Forever

And we will follow You
And we will worship You
And we glorify Your name
Forever

Beautiful, beautiful
Everything You've done is simply beautiful
Wonderful, glorious
I just stand amazed to hear Your name (Your name is)
Beautiful, beautiful
Everything You've done is simply beautiful
Wonderful, glorious
I just stand amazed to hear Your name
Jesus Jesus, we praise You
Jesus Jesus, we love You
Jesus Jesus, we love You
Beautiful, beautiful
Beautiful, beautiful
Jesus
",Ogie Alcasid
Jesus Lord We Praise You,"

Jesus Lord, we praise you
Jesus Lord, we praise you
You are the king of kings
Jesus, we bow before you
And we put our faith in you

No one is greater than you
No other name comes close
You fill us with your grace
We are in awe of you

We won't be shaken by any storm
For you are a fortress, a cornerstone
Fear won't ever break us down
For you have conquered the world

Jesus Lord, we praise you
You are the king of kings
Jesus, we bow before you
And we put our faith in you

Jesus Lord, we praise you
You are the king of kings
Jesus, we bow before you
And we put our faith in you

Jesus Lord, we praise you
You are the king of kings
Jesus, we bow before you
And we put our faith in you

We won't be shaken by any storm
For you are a fortress, a cornerstone
Fear won't ever break us down
For you have conquered the world

Jesus Lord, we praise you
You are the king of kings
Jesus, we bow before you
And we put our faith in you

Jesus Lord, we praise you
You are the king of kings
Jesus, we bow before you
And we put our faith in you

Jesus Lord, we praise you
You are the king of kings
Oh, Lord, we bow before you
And we put our faith in you

Jesus
",Ogie Alcasid
Panginoon Ikaw Lamang,"

Panginoon ikaw lamang
Ang kailangan ko sa buhay ko
Panginoon, maghari ka
Sa puso ko magpakailan pa man

Hesukirsto ikaw ay banal
Ang iyong pangalan, aking sinasamba
Nagpapasalamat at nagagalak
Dahil sayong pagmamahal

Akoy iyong niligtas sa aking mga kasalanan
Sa iyona pagkamatay at muling pagkabuhay
Ikaw ang daan at katotohanan
Ang buhay na walang hanggan

Panginoon ikaw lamang
Ang kailangan ko sa buhay ko
Panginoon, maghari ka
Sa puso ko magpakailan pa man

Panginoon ikaw lamang
Ang kailangan ko sa buhay ko
Panginoon, maghari ka
Sa puso ko magpakailan pa man

Hesukirsto ikaw ay banal
Ang iyong pangalan, aking sinasamba
Nagpapasalamat at nagagalak
Dahil sayong pagmamahal

Aka'y hindi matatakot
Ako'y hindi mangangamba
Pagkat sa lahat ng oras ay nariyan ka

Aka'y hindi matatakot
Ako'y hindi mangangamba
Pagkat sa lahat ng oras ay nariyan ka

Panginoon ikaw lamang
Ang kailangan ko sa buhay ko
Panginoon, maghari ka
Sa puso ko magpakailan pa man

Panginoon ikaw lamang
Ang kailangan ko sa buhay ko
Panginoon, maghari ka
Sa puso ko magpakailan pa man

Panginoon ikaw lamang
Ang kailangan ko sa buhay ko
Panginoon, maghari ka
Sa puso ko magpakailan pa man

Hesukirsto ikaw ay banal
Ang iyong pangalan, aking sinasamba
Nagpapasalamat at nagagalak
Dahil sayong pagmamahal

Panginoon ikaw lamang
",Ogie Alcasid
,"

Ang buhay ay sadyang ganyan
Madami kang pagdadaanan
Lagi na lamang may pagsubok
Para bang walang katapusan

Mundo mo ay gulong gulo
Pagod na ang puso mo
Ang iyong mata'y iyong buksan
Sa isang katotohanan

Hindi ka pababayaan
Hindi ka tatalikuran
Ang lahat ng ito'y may hangganan
At hindi mo kailangang labanan
Magtiwala ka kaibigan
Laging mayroong maaasahan
Hindi ka pababayaan kailanman

Hindi ka pababayaan
Hindi ka tatalikuran
Ang lahat ng ito'y may hangganan
At hindi mo kailangang labanan
Magtiwala ka kaibigan
Laging mayroong maaasahan
Hindi ka pababayaan kailanman
",Ogie Alcasid
